DE Ref,Name,Phase,District,District Inspector
1010012,Belmont Primary School,Primary,BSE1,Cathy Buhac
1010063,Currie Primary School,Primary,BSE3,Julie Harris
1010146,Euston Street Primary School,Primary,BSE1,Cathy Buhac
1010157,Rosetta Primary School,Primary,BSE1,Cathy Buhac
1010205,Forth River Primary School,Primary,BSE2,Elaine McAllister
1010221,Springfield Primary School,Primary,BSE2,Elaine McAllister
1010252,Strandtown Primary School,Primary,BSE1,Cathy Buhac
1010255,Elmgrove Primary School,Primary,BSE1,Cathy Buhac
1010266,"Seaview Primary School, Belfast",Primary,BSE3,Julie Harris
1010267,Nettlefield Primary School,Primary,BSE1,Cathy Buhac
1010273,Orangefield Primary School,Primary,BSE1,Cathy Buhac
1010282,Carr's Glen Primary School,Primary,BSE3,Julie Harris
1010301,Taughmonagh Primary School,Primary,BSE3,Julie Harris
1010304,Greenwood Primary School,Primary,BSE1,Cathy Buhac
1010307,Springhill Primary School,Primary,BSE2,Elaine McAllister
1010323,Edenbrooke Primary School,Primary,BSE2,Elaine McAllister
1010324,Stranmillis Primary School,Primary,BSE3,Julie Harris
1010325,Ligoniel Primary School,Primary,BSE3,Julie Harris
1010806,Finaghy Primary School,Primary,BSE2,Elaine McAllister
1010831,Cavehill Primary School,Primary,BSE3,Julie Harris
1013018,Knocknagoney Primary School,Primary,BSE1,Cathy Buhac
1016059,Blackmountain Primary School,Primary,BSE2,Elaine McAllister
1016060,Donegall Road Primary School,Primary,BSE1,Cathy Buhac
1016076,Ballysillan Primary School,Primary,BSE3,Julie Harris
1016205,Fane Street Primary School,Primary,BSE1,Cathy Buhac
1016207,Blythefield Primary School,Primary,BSE1,Cathy Buhac
1016242,Dundela Infants School,Primary,BSE1,Cathy Buhac
1016485,Glenwood Primary School,Primary,BSE2,Elaine McAllister
1016498,Malvern Primary School,Primary,BSE2,Elaine McAllister
1016499,Botanic Primary School,Primary,BSE1,Cathy Buhac
1016532,Wheatfield Primary School,Primary,BSE3,Julie Harris
1016537,Lowwood Primary School,Primary,BSE3,Julie Harris
1016604,"Harmony Primary School, Belfast",Primary,BSE2,Elaine McAllister
1016647,Bunscoil Mhic Reachtain,Primary,BSE3,Julie Harris
1016655,Victoria Park Primary School,Primary,BSE1,Cathy Buhac
1030194,"Holy Cross Boys' Primary School, Belfast",Primary,BSE3,Julie Harris
1030313,"Our Lady of Lourdes Primary School, Belfast",Primary,BSE3,Julie Harris
1030327,Holy Rosary Primary School,Primary,BSE1,Cathy Buhac
1030331,"Holy Cross Girls' Primary School, Belfast",Primary,BSE3,Julie Harris
1030868,"St Anne's Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036041,Mercy Primary School,Primary,BSE3,Julie Harris
1036042,St Vincent De Paul Primary School,Primary,BSE3,Julie Harris
1036048,St Mary's Star of the Sea Primary School,Primary,BSE3,Julie Harris
1036075,St Bride's Primary School,Primary,BSE1,Cathy Buhac
1036132,St Therese of Lisieux Primary School,Primary,BSE3,Julie Harris
1036140,"St Michael's Primary School, Belfast",Primary,BSE1,Cathy Buhac
1036246,"St Joseph's Primary School, Holland Drive",Primary,BSE1,Cathy Buhac
1036388,"St Mary's Primary School, Divis St",Primary,BSE2,Elaine McAllister
1036466,"St Malachy's Primary School, Belfast",Primary,BSE1,Cathy Buhac
1036505,"St Matthew's Primary School, Belfast",Primary,BSE1,Cathy Buhac
1036565,St Kevin's Primary School,Primary,BSE2,Elaine McAllister
1036566,"Holy Family Primary School, Belfast",Primary,BSE3,Julie Harris
1036576,"Holy Child Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036589,"St Teresa's Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036602,"St Oliver Plunkett Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036620,"St Peter's Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036621,"St Joseph's Primary School, Slate Street",Primary,BSE2,Elaine McAllister
1036623,"Holy Trinity Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036624,"St Paul's Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036630,"St Clare's Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036688,"St John The Baptist Primary School, Belfast",Primary,BSE2,Elaine McAllister
1036697,John Paul II Primary School,Primary,BSE2,Elaine McAllister
1036698,"St Patrick's Primary School, Churchill St",Primary,BSE3,Julie Harris
1036715,"St Columban's Primary School, Belfast",Primary,BSE3,Julie Harris
1046501,Bunscoil Phobal Feirste,Primary,BSE2,Elaine McAllister
1046571,Gaelscoil Na Bhfal,Primary,BSE2,Elaine McAllister
1046593,Bunscoil An Tsleibhe Dhuibh,Primary,BSE2,Elaine McAllister
1046596,Bunscoil Bheann Mhadagain,Primary,BSE3,Julie Harris
1046641,Scoil An Droichid,Primary,BSE1,Cathy Buhac
